imdb_id,title,year,genres,rating,votes,actors,directors,tags,score
tt0042192,All About Eve,1950,Drama,8.2,148770.0,"Bette Davis, Anne Baxter, George Sanders, Celeste Holm, Gary Merrill",Joseph L. Mankiewicz,drama drama drama joseph l. mankiewicz joseph l. mankiewicz bette davis anne baxter george sanders celeste holm gary merrill,7.650525641840004
tt0042276,Born Yesterday,1950,"Comedy, Drama, Romance",7.5,13562.0,"Judy Holliday, William Holden, Broderick Crawford, Howard St. John, Frank Otto",George Cukor,comedy drama romance comedy drama romance comedy drama romance george cukor george cukor judy holliday william holden broderick crawford howard st. john frank otto,6.525180493401915
tt0042332,Cinderella,1950,"Animation, Family, Fantasy",7.3,186463.0,"Ilene Woods, James MacDonald, James MacDonald, James MacDonald, Eleanor Audley","Clyde Geronimi, Wilfred Jackson, Hamilton Luske",animation family fantasy animation family fantasy animation family fantasy clyde geronimi wilfred jackson hamilton luske clyde geronimi wilfred jackson hamilton luske ilene woods james macdonald james macdonald james macdonald eleanor audley,7.055812721787265
tt0042648,Kiss Tomorrow Goodbye,1950,"Crime, Film-Noir, Thriller",7.1,2840.0,"James Cagney, Barbara Payton, Helena Carter, Ward Bond, Luther Adler",Gordon Douglas,crime film-noir thriller crime film-noir thriller crime film-noir thriller gordon douglas gordon douglas james cagney barbara payton helena carter ward bond luther adler,6.343357087673345
tt0042876,Rashomon,1950,"Crime, Drama, Mystery",8.1,195837.0,"Toshirô Mifune, Machiko Kyô, Masayuki Mori, Takashi Shimura, Minoru Chiaki",Akira Kurosawa,crime drama mystery crime drama mystery crime drama mystery akira kurosawa akira kurosawa toshirô mifune machiko kyô masayuki mori takashi shimura minoru chiaki,7.674981015022127
tt0043014,Sunset Boulevard,1950,"Drama, Film-Noir",8.4,260329.0,"William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson, Fred Clark",Billy Wilder,drama film-noir drama film-noir drama film-noir billy wilder billy wilder william holden gloria swanson erich von stroheim nancy olson fred clark,8.00344317118145
tt0043274,Alice in Wonderland,1951,"Adventure, Animation, Comedy",7.3,165962.0,"Kathryn Beaumont, Ed Wynn, Richard Haydn, Sterling Holloway, Jerry Colonna","Clyde Geronimi, Wilfred Jackson, Hamilton Luske, Jack Kinney",adventure animation comedy adventure animation comedy adventure animation comedy clyde geronimi wilfred jackson hamilton luske jack kinney clyde geronimi wilfred jackson hamilton luske jack kinney kathryn beaumont ed wynn richard haydn sterling holloway jerry colonna,7.0337453221655295
tt0043306,Awaara,1951,"Drama, Musical, Romance",7.8,4916.0,"Raj Kapoor, Nargis, Prithviraj Kapoor, K.N. Singh, Shashi Kapoor",Raj Kapoor,drama musical romance drama musical romance drama musical romance raj kapoor raj kapoor raj kapoor nargis prithviraj kapoor k.n. singh shashi kapoor,6.419517609887355
tt0043456,The Day the Earth Stood Still,1951,"Drama, Sci-Fi",7.7,89743.0,"Michael Rennie, Patricia Neal, Hugh Marlowe, Sam Jaffe, Billy Gray",Robert Wise,drama sci-fi drama sci-fi drama sci-fi robert wise robert wise michael rennie patricia neal hugh marlowe sam jaffe billy gray,7.137330204921288
tt0043955,The Racket,1951,"Crime, Drama, Film-Noir",6.7,3687.0,"Robert Mitchum, Lizabeth Scott, Robert Ryan, William Talman, Ray Collins","John Cromwell, Mel Ferrer, Tay Garnett, Edmund Grainger, Nicholas Ray, Sherman Todd",crime drama film-noir crime drama film-noir crime drama film-noir john cromwell mel ferrer tay garnett edmund grainger nicholas ray sherman todd john cromwell mel ferrer tay garnett edmund grainger nicholas ray sherman todd robert mitchum lizabeth scott robert ryan william talman ray collins,6.33044390807991
tt0044040,Sirocco,1951,"Action, Drama, Film-Noir",6.2,3086.0,"Humphrey Bogart, Lee J. Cobb, Märta Torén, Everett Sloane, Gerald Mohr",Curtis Bernhardt,action drama film-noir action drama film-noir action drama film-noir curtis bernhardt curtis bernhardt humphrey bogart lee j. cobb märta torén everett sloane gerald mohr,6.302854794416376
tt0044079,Strangers on a Train,1951,"Crime, Drama, Film-Noir",7.9,148774.0,"Farley Granger, Robert Walker, Ruth Roman, Leo G. Carroll, Patricia Hitchcock",Alfred Hitchcock,crime drama film-noir crime drama film-noir crime drama film-noir alfred hitchcock alfred hitchcock farley granger robert walker ruth roman leo g. carroll patricia hitchcock,7.437663523580307
tt0044081,A Streetcar Named Desire,1951,Drama,7.9,119715.0,"Vivien Leigh, Marlon Brando, Kim Hunter, Karl Malden, Rudy Bond",Elia Kazan,drama drama drama elia kazan elia kazan vivien leigh marlon brando kim hunter karl malden rudy bond,7.363275393157637
tt0044706,High Noon,1952,"Drama, Thriller, Western",7.9,116091.0,"Gary Cooper, Grace Kelly, Thomas Mitchell, Lloyd Bridges, Katy Jurado",Fred Zinnemann,drama thriller western drama thriller western drama thriller western fred zinnemann fred zinnemann gary cooper grace kelly thomas mitchell lloyd bridges katy jurado,7.352285144220538
tt0044741,Ikiru,1952,Drama,8.3,101774.0,"Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori, Haruo Tanaka, Minoru Chiaki",Akira Kurosawa,drama drama drama akira kurosawa akira kurosawa takashi shimura nobuo kaneko shin'ichi himori haruo tanaka minoru chiaki,7.5543428323384205
tt0045012,Pat and Mike,1952,"Comedy, Romance, Sport",6.9,6522.0,"Spencer Tracy, Katharine Hepburn, Aldo Ray, William Ching, Sammy White",George Cukor,comedy romance sport comedy romance sport comedy romance sport george cukor george cukor spencer tracy katharine hepburn aldo ray william ching sammy white,6.365334031764345
tt0045094,Road to Bali,1952,"Adventure, Comedy, Fantasy",6.4,5544.0,"Bing Crosby, Bob Hope, Dorothy Lamour, Murvyn Vye, Peter Coe",Hal Walker,adventure comedy fantasy adventure comedy fantasy adventure comedy fantasy hal walker hal walker bing crosby bob hope dorothy lamour murvyn vye peter coe,6.315739069421732
tt0045190,The Steel Trap,1952,"Crime, Drama, Film-Noir",6.9,1906.0,"Joseph Cotten, Teresa Wright, Jonathan Hale, Walter Sande, Eddie Marr",Andrew L. Stone,crime drama film-noir crime drama film-noir crime drama film-noir andrew l. stone andrew l. stone joseph cotten teresa wright jonathan hale walter sande eddie marr,6.326033285177047
tt0045693,Do Bigha Zamin,1953,Drama,8.3,2498.0,"Balraj Sahni, Nirupa Roy, Ratan Kumar, Murad, Rajlakshmi Devi",Bimal Roy,drama drama drama bimal roy bimal roy balraj sahni nirupa roy ratan kumar murad rajlakshmi devi,6.386562913868766
tt0045810,Gentlemen Prefer Blondes,1953,"Comedy, Musical, Romance",7.1,47016.0,"Jane Russell, Marilyn Monroe, Charles Coburn, Elliott Reid, Tommy Noonan",Howard Hawks,comedy musical romance comedy musical romance comedy musical romance howard hawks howard hawks jane russell marilyn monroe charles coburn elliott reid tommy noonan,6.653115213627034
tt0045920,It Came from Outer Space,1953,"Horror, Sci-Fi",6.5,12738.0,"Richard Carlson, Barbara Rush, Charles Drake, Joe Sawyer, Russell Johnson",Jack Arnold,horror sci-fi horror sci-fi horror sci-fi jack arnold jack arnold richard carlson barbara rush charles drake joe sawyer russell johnson,6.341271688618055
tt0046008,The Living Desert,1953,"Documentary, Family",7.3,1938.0,Winston Hibler,James Algar,documentary family documentary family documentary family james algar james algar winston hibler,6.338663617459257
tt0046126,Niagara,1953,"Drama, Film-Noir, Thriller",7.0,21896.0,"Marilyn Monroe, Joseph Cotten, Jean Peters, Max Showalter, Denis O'Dea",Henry Hathaway,drama film-noir thriller drama film-noir thriller drama film-noir thriller henry hathaway henry hathaway marilyn monroe joseph cotten jean peters max showalter denis o'dea,6.491071133293306
tt0046183,Peter Pan,1953,"Adventure, Animation, Family",7.2,164934.0,"Bobby Driscoll, Kathryn Beaumont, Hans Conried, Hans Conried, Bill Thompson","Clyde Geronimi, Wilfred Jackson, Hamilton Luske, Jack Kinney",adventure animation family adventure animation family adventure animation family clyde geronimi wilfred jackson hamilton luske jack kinney clyde geronimi wilfred jackson hamilton luske jack kinney bobby driscoll kathryn beaumont hans conried hans conried bill thompson,6.959497488670468
tt0046213,Project Moon Base,1953,Sci-Fi,3.4,1523.0,"Donna Martell, Hayden Rorke, Ross Ford, Larry Johns, Herb Jacobs",Richard Talmadge,sci-fi sci-fi sci-fi richard talmadge richard talmadge donna martell hayden rorke ross ford larry johns herb jacobs,6.237107433694002
tt0046250,Roman Holiday,1953,"Comedy, Drama, Romance",8.0,158083.0,"Gregory Peck, Audrey Hepburn, Eddie Albert, Hartley Power, Harcourt Williams",William Wyler,comedy drama romance comedy drama romance comedy drama romance william wyler william wyler gregory peck audrey hepburn eddie albert hartley power harcourt williams,7.529510388735117
